PH,Phosphorus,Potassium,Nitrogen,Temperature,Rainfall,Crop_type,Humidity,Soil_type
6.5,50.0,100.0,75.0,20.0,1000.0,Sugarcane,67.4349833194211,brown
6.5,50.0,100.0,80.0,20.0,1000.0,Sugarcane,67.4349833194211,brown
6.5,50.0,100.0,85.0,20.0,1000.0,Sugarcane,67.4349833194211,brown
6.5,50.0,100.0,90.0,20.0,1000.0,Sugarcane,67.4349833194211,brown
6.5,50.0,100.0,95.0,20.0,1000.0,Sugarcane,67.4349833194211,brown
6.5,50.0,100.0,100.0,20.0,1000.0,Sugarcane,67.4349833194211,brown
7.0,55.0,105.0,75.0,25.0,1100.0,Sugarcane,67.4349833194211,brown
7.0,55.0,105.0,80.0,25.0,1100.0,Sugarcane,67.4349833194211,brown
7.0,55.0,105.0,85.0,25.0,1100.0,Sugarcane,67.4349833194211,brown
7.0,55.0,105.0,90.0,25.0,1100.0,Sugarcane,67.4349833194211,brown
7.0,55.0,105.0,95.0,25.0,1100.0,Sugarcane,67.4349833194211,brown
7.0,55.0,105.0,100.0,25.0,1100.0,Sugarcane,67.4349833194211,brown
7.5,60.0,110.0,75.0,30.0,1200.0,Sugarcane,67.4349833194211,brown
7.5,60.0,110.0,80.0,30.0,1200.0,Sugarcane,67.4349833194211,brown
7.5,60.0,110.0,85.0,30.0,1200.0,Sugarcane,67.4349833194211,brown
7.5,60.0,110.0,90.0,30.0,1200.0,Sugarcane,67.4349833194211,brown
7.5,60.0,110.0,95.0,30.0,1200.0,Sugarcane,67.4349833194211,brown
7.5,60.0,110.0,100.0,30.0,1200.0,Sugarcane,67.4349833194211,brown
6.5,50.0,115.0,75.0,35.0,1300.0,Sugarcane,67.4349833194211,brown
6.5,50.0,115.0,80.0,35.0,1300.0,Sugarcane,67.4349833194211,brown
6.5,50.0,115.0,85.0,35.0,1300.0,Sugarcane,67.4349833194211,brown
6.5,50.0,115.0,90.0,35.0,1300.0,Sugarcane,67.4349833194211,brown
6.5,50.0,115.0,95.0,35.0,1300.0,Sugarcane,67.4349833194211,brown
6.5,50.0,115.0,100.0,35.0,1300.0,Sugarcane,67.4349833194211,brown
7.0,55.0,100.0,75.0,20.0,1400.0,Sugarcane,67.4349833194211,brown
7.0,55.0,100.0,80.0,20.0,1400.0,Sugarcane,67.4349833194211,brown
7.0,55.0,100.0,85.0,20.0,1400.0,Sugarcane,67.4349833194211,brown
7.0,55.0,100.0,90.0,20.0,1400.0,Sugarcane,67.4349833194211,brown
7.0,55.0,100.0,95.0,20.0,1400.0,Sugarcane,67.4349833194211,brown
7.0,55.0,100.0,100.0,20.0,1400.0,Sugarcane,67.4349833194211,brown
7.5,60.0,105.0,75.0,25.0,1500.0,Sugarcane,67.4349833194211,brown
7.5,60.0,105.0,80.0,25.0,1500.0,Sugarcane,67.4349833194211,brown
7.5,60.0,105.0,85.0,25.0,1500.0,Sugarcane,67.4349833194211,brown
7.5,60.0,105.0,90.0,25.0,1500.0,Sugarcane,67.4349833194211,brown
7.5,60.0,105.0,95.0,25.0,1500.0,Sugarcane,67.4349833194211,brown
7.5,60.0,105.0,100.0,25.0,1500.0,Sugarcane,67.4349833194211,brown
6.5,50.0,110.0,75.0,30.0,1000.0,Sugarcane,67.4349833194211,brown
6.5,50.0,110.0,80.0,30.0,1000.0,Sugarcane,67.4349833194211,brown
6.5,50.0,110.0,85.0,30.0,1000.0,Sugarcane,67.4349833194211,brown
6.5,50.0,110.0,90.0,30.0,1000.0,Sugarcane,67.4349833194211,brown
6.5,50.0,110.0,95.0,30.0,1000.0,Sugarcane,67.4349833194211,brown
6.5,50.0,110.0,100.0,30.0,1000.0,Sugarcane,67.4349833194211,brown
7.0,55.0,115.0,75.0,35.0,1100.0,Sugarcane,67.4349833194211,brown
